==========================================================
l-BFGS memory length: 5
Maximum number of iterations: 30
Convergence tolerance: 1.00e-08
maximum number of line search: 10
initial step length: alpha=1
==========================================================
iter    fk       fk/f0      ||gk||    alpha    nls   ngrad
  0   1.65e+02  1.00e+00   1.09e+01  1.00e+00    0     0
  1   1.30e+02  7.85e-01   7.81e+00  1.00e+00    0     1
  2   1.14e+02  6.92e-01   2.24e+00  1.00e+00    0     2
  3   1.10e+02  6.63e-01   2.06e+00  1.00e+00    0     3
  4   8.24e+01  4.99e-01   1.88e+00  1.00e+00    0     4
  5   7.77e+01  4.70e-01   3.95e+00  1.00e+00    0     5
  6   6.52e+01  3.95e-01   1.61e+00  1.00e+00    0     6
  7   5.86e+01  3.55e-01   1.06e+00  1.00e+00    0     7
  8   4.80e+01  2.91e-01   1.70e+00  1.00e+00    0     8
  9   4.70e+01  2.85e-01   4.00e+00  1.00e+00    0     9
 10   4.03e+01  2.44e-01   1.09e+00  1.00e+00    0    10
 11   3.83e+01  2.32e-01   7.63e-01  1.00e+00    0    11
 12   3.50e+01  2.12e-01   1.13e+00  1.00e+00    0    12
 13   3.14e+01  1.90e-01   1.59e+00  1.00e+00    0    13
 14   2.86e+01  1.73e-01   9.28e-01  1.00e+00    0    14
 15   2.69e+01  1.63e-01   7.23e-01  1.00e+00    0    15
 16   2.55e+01  1.54e-01   6.37e-01  1.00e+00    0    16
 17   2.38e+01  1.44e-01   7.27e-01  1.00e+00    0    17
 18   2.30e+01  1.39e-01   1.34e+00  1.00e+00    0    18
 19   2.16e+01  1.31e-01   5.20e-01  1.00e+00    0    19
 20   2.09e+01  1.27e-01   4.05e-01  1.00e+00    0    20
 21   2.01e+01  1.22e-01   5.24e-01  1.00e+00    0    21
 22   1.89e+01  1.15e-01   9.75e-01  1.00e+00    0    22
 23   1.81e+01  1.10e-01   7.68e-01  1.00e+00    0    23
 24   1.75e+01  1.06e-01   3.38e-01  1.00e+00    0    24
 25   1.71e+01  1.04e-01   3.40e-01  1.00e+00    0    25
 26   1.66e+01  1.01e-01   4.68e-01  1.00e+00    0    26
 27   1.60e+01  9.71e-02   7.65e-01  1.00e+00    0    27
 28   1.56e+01  9.45e-02   6.30e-01  1.00e+00    0    28
 29   1.52e+01  9.20e-02   2.87e-01  1.00e+00    0    29
==>Maximum iteration number reached!
