==========================================================
l-BFGS memory length: 5
Maximum number of iterations: 30
Convergence tolerance: 1.00e-06
maximum number of line search: 5
initial step length: alpha=1
==========================================================
iter    fk       fk/f0      ||gk||    alpha    nls   ngrad
  0   4.98e+02  1.00e+00   4.89e+00  1.00e+00    0     0
  1   4.47e+02  8.98e-01   3.69e+00  5.00e+00    1     2
  2   4.05e+02  8.14e-01   4.02e+00  5.00e-01    1     4
  3   3.70e+02  7.43e-01   3.62e+00  5.00e-01    1     6
  4   3.30e+02  6.64e-01   2.62e+00  1.00e+00    0     7
  5   3.02e+02  6.08e-01   2.59e+00  1.00e+00    0     8
  6   2.97e+02  5.97e-01   3.58e+00  1.00e+00    0     9
  7   2.54e+02  5.11e-01   1.74e+00  1.00e+00    0    10
  8   2.32e+02  4.66e-01   1.40e+00  1.00e+00    0    11
  9   2.11e+02  4.23e-01   1.44e+00  1.00e+00    0    12
 10   1.88e+02  3.79e-01   1.79e+00  1.00e+00    0    13
 11   1.61e+02  3.24e-01   1.54e+00  1.00e+00    0    14
 12   1.23e+02  2.48e-01   9.28e-01  1.00e+00    0    15
 13   1.02e+02  2.06e-01   1.03e+00  1.00e+00    0    16
 14   8.73e+01  1.75e-01   6.52e-01  1.00e+00    0    17
 15   7.77e+01  1.56e-01   7.27e-01  1.00e+00    0    18
 16   6.69e+01  1.34e-01   4.08e-01  1.00e+00    0    19
 17   5.82e+01  1.17e-01   3.14e-01  1.00e+00    0    20
 18   5.21e+01  1.05e-01   4.69e-01  1.00e+00    0    21
 19   4.71e+01  9.47e-02   2.65e-01  1.00e+00    0    22
 20   4.38e+01  8.80e-02   2.11e-01  1.00e+00    0    23
 21   4.06e+01  8.15e-02   1.98e-01  1.00e+00    0    24
 22   3.94e+01  7.91e-02   7.41e-01  1.00e+00    0    25
 23   3.63e+01  7.29e-02   2.61e-01  1.00e+00    0    26
 24   3.48e+01  6.99e-02   1.66e-01  1.00e+00    0    27
 25   3.34e+01  6.72e-02   1.57e-01  1.00e+00    0    28
 26   3.20e+01  6.44e-02   1.55e-01  1.00e+00    0    29
 27   3.12e+01  6.27e-02   2.67e-01  1.00e+00    0    30
 28   3.02e+01  6.06e-02   1.37e-01  1.00e+00    0    31
 29   2.96e+01  5.95e-02   1.01e-01  1.00e+00    0    32
==>Maximum iteration number reached!
