             x                y                z         azimuth        dip        iRx
  -8000.00000      -6000.00000       700.000000               0           0           1
  -7900.00000      -6000.00000       700.000000               0           0           2
  -7800.00000      -6000.00000       700.000000               0           0           3
  -7700.00000      -6000.00000       700.000000               0           0           4
  -7600.00000      -6000.00000       700.000000               0           0           5
  -7500.00000      -6000.00000       700.000000               0           0           6
  -7400.00000      -6000.00000       700.000000               0           0           7
  -7300.00000      -6000.00000       700.000000               0           0           8
  -7200.00000      -6000.00000       700.000000               0           0           9
  -7100.00000      -6000.00000       700.000000               0           0          10
  -7000.00000      -6000.00000       700.000000               0           0          11
  -6900.00000      -6000.00000       700.000000               0           0          12
  -6800.00000      -6000.00000       700.000000               0           0          13
  -6700.00000      -6000.00000       700.000000               0           0          14
  -6600.00000      -6000.00000       700.000000               0           0          15
  -6500.00000      -6000.00000       700.000000               0           0          16
  -6400.00000      -6000.00000       700.000000               0           0          17
  -6300.00000      -6000.00000       700.000000               0           0          18
  -6200.00000      -6000.00000       700.000000               0           0          19
  -6100.00000      -6000.00000       700.000000               0           0          20
  -6000.00000      -6000.00000       700.000000               0           0          21
  -5900.00000      -6000.00000       700.000000               0           0          22
  -5800.00000      -6000.00000       700.000000               0           0          23
  -5700.00000      -6000.00000       700.000000               0           0          24
  -5600.00000      -6000.00000       700.000000               0           0          25
  -5500.00000      -6000.00000       700.000000               0           0          26
  -5400.00000      -6000.00000       700.000000               0           0          27
  -5300.00000      -6000.00000       700.000000               0           0          28
  -5200.00000      -6000.00000       700.000000               0           0          29
  -5100.00000      -6000.00000       700.000000               0           0          30
  -5000.00000      -6000.00000       700.000000               0           0          31
  -4900.00000      -6000.00000       700.000000               0           0          32
  -4800.00000      -6000.00000       700.000000               0           0          33
  -4700.00000      -6000.00000       700.000000               0           0          34
  -4600.00000      -6000.00000       700.000000               0           0          35
  -4500.00000      -6000.00000       700.000000               0           0          36
  -4400.00000      -6000.00000       700.000000               0           0          37
  -4300.00000      -6000.00000       700.000000               0           0          38
  -4200.00000      -6000.00000       700.000000               0           0          39
  -4100.00000      -6000.00000       700.000000               0           0          40
  -4000.00000      -6000.00000       700.000000               0           0          41
  -3900.00000      -6000.00000       700.000000               0           0          42
  -3800.00000      -6000.00000       700.000000               0           0          43
  -3700.00000      -6000.00000       700.000000               0           0          44
  -3600.00000      -6000.00000       700.000000               0           0          45
  -3500.00000      -6000.00000       700.000000               0           0          46
  -3400.00000      -6000.00000       700.000000               0           0          47
