             x                y                z         azimuth        dip        iTx
  -6000.00000      -6000.00000       850.000000               0           0           1
  -3000.00000      -6000.00000       750.000000               0           0           2
   0.00000000      -6000.00000       700.000000               0           0           3
   3000.00000      -6000.00000       750.000000               0           0           4
   6000.00000      -6000.00000       850.000000               0           0           5
  -6000.00000      -3000.00000       850.000000               0           0           6
  -3000.00000      -3000.00000       750.000000               0           0           7
   0.00000000      -3000.00000       700.000000               0           0           8
   3000.00000      -3000.00000       750.000000               0           0           9
   6000.00000      -3000.00000       850.000000               0           0          10
  -6000.00000       0.00000000       850.000000               0           0          11
  -3000.00000       0.00000000       750.000000               0           0          12
   0.00000000       0.00000000       700.000000               0           0          13
   3000.00000       0.00000000       750.000000               0           0          14
   6000.00000       0.00000000       850.000000               0           0          15
  -6000.00000       3000.00000       850.000000               0           0          16
  -3000.00000       3000.00000       750.000000               0           0          17
   0.00000000       3000.00000       700.000000               0           0          18
   3000.00000       3000.00000       750.000000               0           0          19
   6000.00000       3000.00000       850.000000               0           0          20
  -6000.00000       6000.00000       850.000000               0           0          21
  -3000.00000       6000.00000       750.000000               0           0          22
   0.00000000       6000.00000       700.000000               0           0          23
   3000.00000       6000.00000       750.000000               0           0          24
   6000.00000       6000.00000       850.000000               0           0          25
